ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1,Ryan Coogler,7.6/10,95%,85/100,3
2,John Krasinski,7.2/10,70%,68/100,2
3,Steven Spielberg,7.3/10,80%,62/100,14
4,Will Gluck,6.3/10,61%,55/100,4
5,James Foley,5.3/10,26%,24/100,4
6,Ava DuVernay,5.8/10,68%,71/100,2
7,Andrew Erwin,6.5/10,52%,37/100,3
8, Jon Erwin,6.5/10,52%,37/100,3
9,John Francis Daley,6.7/10,54%,50/100,2
10, Jonathan Goldstein,6.7/10,54%,50/100,2
11,Adam Robitel,5.7/10,32%,49/100,1
12,Brad Peyton,5.7/10,46%,17/100,4
13,Steven S. DeKnight,6.0/10,43%,44/100,1
14,Wes Ball,6.6/10,51%,35/100,3
15,Roar Uthaug,6.8/10,49%,48/100,1
16,Kay Cannon,6.6/10,82%,69/100,1
17,Francis Lawrence,6.9/10,64%,54/100,7
18,Nicolai Fuglsig,7.0/10,54%,54/100,1
19,Christian Gudegast,7.0/10,40%,49/100,1
20,Tyler Perry,5.3/10,26%,4/100,3
21,Paul King,7.6/10,98%,82/100,2
22,Greg Berlanti,7.3/10,60%,56/100,2
23,John Stevenson,6.2/10,52%,54/100,2
24,Jaume Collet-Serra,6.5/10,56%,47/100,7
25,Clint Eastwood,7.1/10,68%,70/100,15
26,Eli Roth,6.4/10,56%,53/100,7
27,Alex Garland,7.3/10,90%,78/100,2
28,Jeff Wadlow,5.9/10,25%,30/100,4
29,Michael Spierig,5.9/10,39%,41/100,3
30, Peter Spierig,5.9/10,39%,41/100,3
31,Wes Anderson,7.7/10,84%,78/100,7
32,Johannes Roberts,5.5/10,38%,26/100,2
33,Babak Najafi,5.5/10,27%,32/100,2
34,Andrew Hyatt,N/A/10,43%,N/A/100,1
35,Bethany Ashton Wolf,6.0/10,21%,36/100,1
36,Abby Kohn,N/A/10,N/A%,N/A/100,1
37, Marc Silverstein,N/A/10,N/A%,N/A/100,1
38,Jay Chandrasekhar,6.0/10,28%,43/100,5
39,John Curran,6.5/10,64%,65/100,4
40,Sanjay Leela Bhansali,7.2/10,72%,63/100,5
41,Scott Speer,6.3/10,29%,40/100,2
42,Sean McNamara,5.9/10,34%,27/100,5
43,Nick Park,6.7/10,90%,78/100,2
44,Steven Soderbergh,6.6/10,73%,59/100,15
45,Armando Iannucci,7.3/10,94%,86/100,2
46,Rob Cohen,5.4/10,25%,26/100,8
47,Michael Sucsy,6.3/10,46%,48/100,2
48,Michael Mason,N/A/10,13%,N/A/100,1
49,Nash Edgerton,6.0/10,40%,46/100,1
50,Bruce Macdonald,4.6/10,25%,7/100,1
51, Gabriel Sabloff,4.6/10,25%,7/100,1
52,Brad Anderson,6.6/10,76%,38/100,4
53,Deon Taylor,5.7/10,11%,26/100,2
54,N/A,6.4/10,N/A%,N/A/100,17
55,José Padilha,5.6/10,36%,50/100,2
56,,6.5/10,55%,46/100,4020
57,Cory Finley,7.3/10,86%,76/100,1
58,Marco Polo Constandse,N/A/10,N/A%,N/A/100,1
59,Hiromasa Yonebayashi,7.2/10,94%,40/100,2
60,Chen Sicheng,6.7/10,50%,N/A/100,1
61,Sebastián Lelio,7.3/10,94%,86/100,1
62,Richard Lanni,N/A/10,80%,N/A/100,1
63,Dante Lam,7.5/10,83%,N/A/100,1
64,Ahmed Khan,5.6/10,40%,N/A/100,1
65,Raj Kumar Gupta,8.0/10,71%,N/A/100,1
66,Ziad Doueiri,7.5/10,86%,73/100,2
67,Rian Johnson,7.2/10,82%,74/100,4
68,Bill Condon,6.3/10,63%,62/100,7
69,Patty Jenkins,7.4/10,86%,75/100,2
70,Jake Kasdan,6.1/10,51%,50/100,5
71,James Gunn,6.6/10,66%,55/100,4
72,Jon Watts,7.5/10,92%,73/100,1
73,Andy Muschietti,6.8/10,74%,63/100,2
74,Taika Waititi,7.8/10,95%,53/100,3
75,Kyle Balda,6.3/10,58%,52/100,2
76, Pierre Coffin,6.3/10,58%,52/100,2
77, Eric Guillon,6.3/10,59%,49/100,1
78,Zack Snyder,7.0/10,49%,50/100,8
79,James Mangold,7.5/10,79%,59/100,5
80,F. Gary Gray,6.8/10,49%,50/100,6
81,Lee Unkrich,8.2/10,98%,47/100,4
82, Adrian Molina,8.5/10,97%,8/100,1
83,Christopher Nolan,8.4/10,86%,64/100,10
84,Jordan Peele,7.7/10,99%,84/100,1
85,Chris McKay,7.3/10,90%,75/100,1
86,Tom McGrath,6.8/10,64%,27/100,5
87,Michael Gracey,7.8/10,55%,48/100,1
88,Joachim Rønning,6.9/10,56%,50/100,2
89, Espen Sandberg,6.9/10,56%,50/100,2
90,Jordan Vogt-Roberts,7.0/10,76%,34/100,2
91,Brian Fee,6.8/10,68%,59/100,1
92,Matt Reeves,7.3/10,87%,76/100,4
93,M. Night Shyamalan,6.0/10,43%,43/100,9
94,Stephen Chbosky,8.0/10,86%,66/100,2
95,Michael Bay,6.2/10,29%,29/100,8
96,Malcolm D. Lee,5.8/10,57%,51/100,8
97,Edgar Wright,7.6/10,88%,54/100,6
98,Trish Sie,6.0/10,36%,24/100,2
99,Sean Anders,6.1/10,30%,20/100,5
100,Kenneth Branagh,6.7/10,68%,58/100,4
101,David F. Sandberg,6.4/10,73%,60/100,2
102,Matthew Vaughn,7.5/10,74%,53/100,6
103,Denis Villeneuve,7.7/10,86%,36/100,5
104,Tony Leondis,4.5/10,22%,3/100,2
105,Dean Israelite,6.2/10,40%,46/100,2
106,Carlos Saldanha,6.8/10,62%,43/100,7
107,Alex Kurtzman,6.2/10,34%,42/100,2
108,Patrick Hughes,6.5/10,36%,41/100,2
109,Ridley Scott,7.2/10,61%,54/100,14
110,David Soren,6.3/10,76%,64/100,2
111,Jon Lucas,5.8/10,44%,24/100,2
112, Scott Moore,5.8/10,44%,24/100,2
113,Lasse Hallström,6.8/10,47%,46/100,10
114,Guillermo del Toro,7.1/10,79%,74/100,7
115,Charlie Bean,6.0/10,55%,55/100,1
116, Paul Fisher,6.0/10,55%,55/100,1
117, Bob Logan,6.0/10,55%,55/100,1
118,Seth Gordon,6.0/10,32%,33/100,4
119,Stuart Hazeldine,6.3/10,19%,32/100,1
120,Joe Wright,6.8/10,64%,55/100,6
121,Christopher Landon,5.9/10,51%,44/100,3
122,Martin McDonagh,7.8/10,86%,74/100,3
123,David Leitch,7.0/10,82%,66/100,2
124,Doug Liman,6.9/10,68%,51/100,7
125,Nikolaj Arcel,6.7/10,52%,54/100,2
126,Greta Gerwig,7.5/10,99%,94/100,1
127,Jonathan Levine,6.5/10,69%,48/100,5
128,Yimou Zhang,7.3/10,70%,46/100,5
129,Kelly Asbury,6.7/10,65%,44/100,3
130,Zach Braff,6.9/10,74%,38/100,3
131,Benny Boom,5.8/10,19%,42/100,2
132,Michael Showalter,7.1/10,90%,74/100,2
133,Luc Besson,6.3/10,42%,23/100,4
134,Timothy Reckart,5.8/10,45%,42/100,1
135,Rupert Sanders,6.2/10,46%,54/100,2
136,Guy Ritchie,7.5/10,60%,46/100,6
137,Michael Cuesta,6.8/10,65%,41/100,3
138,Martin Campbell,6.5/10,47%,41/100,7
139,Stella Meghie,6.4/10,46%,52/100,1
140,Taylor Sheridan,7.8/10,87%,73/100,1
141,Dean Devlin,5.4/10,13%,2/100,1
142,Chris Wedge,6.5/10,59%,32/100,4
143,Richie Keen,5.6/10,26%,37/100,1
144,Ken Marino,5.9/10,38%,54/100,1
145,Luis Prieto,5.9/10,37%,44/100,1
146,Anna Foerster,5.8/10,21%,23/100,1
147,Hany Abu-Assad,7.0/10,64%,28/100,2
148,Daniel Espinosa,6.6/10,53%,41/100,4
149,Craig Gillespie,6.7/10,64%,44/100,6
150,Scott Cooper,7.1/10,73%,70/100,4
151,Aaron Sorkin,7.5/10,82%,7/100,1
152,Cal Brunker,5.6/10,23%,36/100,2
153,F. Javier Gutiérrez,4.5/10,7%,25/100,1
154,Hallie Meyers-Shyer,5.7/10,32%,4/100,1
155,Paul W.S. Anderson,5.9/10,31%,39/100,7
