Title,Ratings,Production
Black Panther,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",['Marvel Studios']
A Quiet Place,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Platinum Dunes', 'Sunday Night']"
Ready Player One,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Warner Bros. Pictures', 'Amblin Partners', 'Amblin Entertainment', 'Village Roadshow Pictures', 'De Line Pictures', 'Access Entertainment', 'Dune Entertainment', 'Farah Films & Management']"
Peter Rabbit,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '52/100'}]","['Columbia Pictures', 'Sony Pictures Animation', 'Olive Bridge Entertainment', 'Animal Logic', '2.0 Entertainment', 'Screen Australia', 'Screen NSW']"
Fifty Shades Freed,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '31/100'}]","['Perfect World Pictures', 'Michael De Luca Productions', 'Trigger Street Productions']"
A Wrinkle in Time,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['Walt Disney Pictures', 'Whitaker Entertainment']"
I Can Only Imagine,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '29/100'}]","['Kevin Downes Productions', 'Mission Pictures International']"
Game Night,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","['New Line Cinema', 'Davis Entertainment', 'Aggregate Films', 'Access Entertainment']"
Insidious: The Last Key,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Blumhouse Productions', 'Stage 6 Films']"
Rampage,[],"['New Line Cinema', 'Flynn Picture Company', 'Wrigley Pictures', 'ASAP Entertainment', 'Seven Bucks Productions']"
Pacific Rim: Uprising,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['Legendary Pictures','DDY']"
Maze Runner: The Death Cure,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","['Gotham Group', 'Temple Hill Entertainment', 'Oddball Entertainment']"
Tomb Raider,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '48/100'}]","['Metro-Goldwyn-Mayer', 'Warner Bros. Pictures', 'GK Films', 'Square Enix']"
Blockers,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","['Universal Pictures', 'Good Universe', 'DMG Entertainment', 'Hurwitz & Schlossberg Productions', 'Point Grey Pictures']"
Red Sparrow,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['TSG Entertainment','Chernin Entertainment']"
