ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1,Marvel Studios,7.2/10,78%,59/100,19
2,Platinum Dunes,5.9/10,38%,29/100,13
3,Sunday Night,7.2/10,70%,68/100,2
4,Warner Bros. Pictures,6.5/10,47%,39/100,7
5,Amblin Partners,7.0/10,68%,63/100,3
6,Amblin Entertainment,6.9/10,68%,59/100,26
7,Village Roadshow Pictures,6.3/10,42%,39/100,81
8,De Line Pictures,6.3/10,45%,41/100,7
9,Access Entertainment,7.4/10,65%,58/100,3
10,Dune Entertainment,6.2/10,50%,47/100,49
11,Farah Films & Management,8.0/10,74%,64/100,1
12,Columbia Pictures,6.4/10,50%,38/100,24
13,Sony Pictures Animation,6.2/10,57%,41/100,14
14,Olive Bridge Entertainment,6.5/10,71%,62/100,4
15,Animal Logic,6.6/10,65%,62/100,7
16,2.0 Entertainment,6.4/10,62%,52/100,1
17,Screen Australia,6.9/10,68%,54/100,8
18,Screen NSW,6.8/10,78%,68/100,2
19,Perfect World Pictures,6.1/10,55%,42/100,13
20,Michael De Luca Productions,6.0/10,47%,48/100,10
21,Trigger Street Productions,6.1/10,49%,52/100,9
22,Walt Disney Pictures,6.4/10,58%,46/100,116
23,Whitaker Entertainment,5.9/10,64%,39/100,3
24,Kevin Downes Productions,7.5/10,70%,29/100,1
25,Mission Pictures International,7.5/10,70%,29/100,1
26,New Line Cinema,6.4/10,52%,41/100,52
27,Davis Entertainment,5.8/10,39%,42/100,17
28,Aggregate Films,6.6/10,55%,53/100,3
29,Blumhouse Productions,5.8/10,50%,40/100,33
30,Stage 6 Films,6.5/10,65%,56/100,12
31,Flynn Picture Company,6.0/10,59%,47/100,2
32,Wrigley Pictures,5.8/10,36%,21/100,3
33,ASAP Entertainment,N/A/10,N/A%,N/A/100,1
34,Seven Bucks Productions,7.0/10,76%,58/100,2
35,Legendary Pictures,6.7/10,54%,47/100,43
36,DDY,6.5/10,57%,54/100,2
37,Gotham Group,6.6/10,51%,35/100,3
38,Temple Hill Entertainment,6.2/10,45%,47/100,15
39,Oddball Entertainment,6.8/10,42%,5/100,1
40,Metro-Goldwyn-Mayer,6.2/10,43%,38/100,22
41,GK Films,6.9/10,64%,57/100,11
42,Square Enix,6.8/10,49%,48/100,1
43,Universal Pictures,6.4/10,55%,43/100,12
44,Good Universe,6.5/10,66%,48/100,8
45,DMG Entertainment,5.8/10,31%,32/100,10
46,Hurwitz & Schlossberg Productions,6.6/10,82%,69/100,1
47,Point Grey Pictures,6.5/10,74%,64/100,8
48,TSG Entertainment,6.7/10,56%,45/100,54
49,Chernin Entertainment,6.8/10,62%,54/100,17
50,Alcon Entertainment,6.3/10,47%,43/100,29
51,Black Label Media,7.4/10,78%,68/100,7
52,Jerry Bruckheimer Films,6.5/10,42%,39/100,23
53,Diamond Film Productions,7.0/10,40%,49/100,1
54,Tooley Productions,7.0/10,40%,49/100,1
55,G-BASE,6.5/10,32%,38/100,2
56,Tyler Perry Studios,5.3/10,26%,4/100,3
57,Heyday Films,7.5/10,77%,60/100,18
58,StudioCanal,6.6/10,62%,51/100,55
59,Fox 2000 Pictures,6.3/10,48%,45/100,35
60,Temple Hill Productions,8.0/10,92%,73/100,1
61,Paramount Animation,5.5/10,43%,34/100,3
62,Rocket Pictures,4.8/10,18%,36/100,1
63,The Picture Company,6.5/10,57%,56/100,1
64,Ombra Films,6.4/10,68%,58/100,2
65,Malpaso Productions,7.1/10,67%,70/100,14
66,RatPac-Dune Entertainment,6.6/10,55%,42/100,37
67,Cave 76 Productions,6.5/10,17%,32/100,1
68,MGM Studios,6.5/10,17%,32/100,1
69,Skydance Media,6.3/10,54%,47/100,5
70,DNA Films,7.3/10,80%,64/100,11
71,Scott Rudin Productions,6.8/10,73%,52/100,35
72,Bullitt Entertainment,5.4/10,14%,28/100,1
73,Diamond Pictures,5.4/10,14%,28/100,1
74,Imagination Design Works,5.4/10,14%,28/100,1
75,Indian Paintbrush,7.2/10,77%,59/100,10
76,American Empirical Pictures,7.6/10,85%,78/100,8
77,The Fyzz Facility,6.0/10,42%,35/100,4
78,White Comet Films,5.8/10,38%,49/100,1
79,BLOOM,5.8/10,38%,49/100,1
80,Burk A Project,5.8/10,38%,49/100,1
81,Intrepid Pictures,5.7/10,33%,31/100,11
82,Rogue,5.8/10,33%,41/100,6
83,Affirm Films,6.5/10,36%,30/100,9
84,ODB Films,N/A/10,43%,N/A/100,1
85,LD Entertainment,6.4/10,61%,44/100,10
86,Voltage Pictures,7.0/10,80%,61/100,8
87,Wonderland Sound and Vision,6.0/10,39%,39/100,7
88,Broken Lizard Industries,5.7/10,25%,45/100,2
89,Cataland Films,6.0/10,30%,46/100,3
90,Apex Entertainment,6.8/10,64%,67/100,1
91,Bhansali Productions,7.0/10,72%,63/100,3
92,Viacom 18 Motion Pictures,7.3/10,71%,63/100,2
93,Boies / Schiller Film Group,6.2/10,16%,38/100,1
94,Rickard Pictures,6.2/10,16%,38/100,1
95,Aardman Animations,6.8/10,88%,61/100,6
96,British Film Institute,7.2/10,90%,77/100,8
97,Regency Enterprises,5.6/10,35%,33/100,59
98,Extension 765,6.2/10,80%,39/100,2
99,Main Journey,7.2/10,95%,88/100,1
100,Quad Productions,7.2/10,95%,88/100,1
101,Foresight Unlimited,5.7/10,43%,21/100,3
102,Parkside Pictures,4.8/10,45%,34/100,1
103,Windfall Productions,4.8/10,45%,34/100,1
104,Tadross Media Group,4.8/10,45%,34/100,1
105,Likely Story,6.7/10,64%,44/100,10
106,FilmWave,7.0/10,78%,66/100,2
107,Pure Flix,4.5/10,15%,14/100,3
108,Denver and Delilah Productions,6.3/10,58%,54/100,2
109,Blue-Tongue Films,6.7/10,77%,69/100,5
110,Boomtown Films,4.6/10,25%,7/100,1
111,Radar Pictures,6.0/10,49%,47/100,12
112,ShivHans Pictures,6.9/10,80%,51/100,4
113,Codeblack Films,6.3/10,39%,46/100,3
114,Hidden Empire Film Group,5.7/10,11%,26/100,2
115,Participant Media,6.9/10,73%,47/100,32
116,Working Title Films,6.8/10,67%,52/100,55
117,June Pictures,7.5/10,91%,84/100,2
118,B Story,7.5/10,90%,86/100,2
119,Big Indie Pictures,7.0/10,79%,66/100,4
120,Studio Ponoc,6.8/10,N/A%,73/100,1
121,MM2 Entertainment,6.7/10,50%,N/A/100,1
122,Wanda Pictures,6.9/10,55%,39/100,6
123,Wuzhou Film Distribution,6.7/10,50%,N/A/100,1
124,Fabula,7.0/10,91%,47/100,2
125,Komplizen Film,7.4/10,94%,90/100,2
126,Fun Academy Motion Pictures,N/A/10,80%,N/A/100,1
127,Mikros Image,N/A/10,80%,N/A/100,1
128,Bona Film Group,6.9/10,64%,53/100,2
129,Emperor Motion Pictures,6.9/10,70%,56/100,2
130,Film Fireworks Production,7.5/10,83%,N/A/100,1
131,Star Dream Studio Media,7.5/10,83%,N/A/100,1
132,Nadiadwala Grandson Entertainment,5.7/10,47%,N/A/100,9
133,Panorama Studios,8.0/10,71%,N/A/100,1
134,T-Series,8.0/10,71%,N/A/100,1
135,Ezekiel Films,7.9/10,N/A%,72/100,1
136,Tessalit Productions,7.9/10,N/A%,72/100,1
137,Rouge International,7.9/10,N/A%,72/100,1
138,Lucasfilm Ltd.,6.9/10,69%,53/100,8
139,Mandeville Films,6.5/10,59%,46/100,14
140,DC Films,7.2/10,66%,60/100,2
141,Tencent Pictures,7.0/10,65%,57/100,3
142,Atlas Entertainment,6.2/10,42%,36/100,11
143,Cruel and Unusual Films,6.7/10,47%,51/100,7
144,Matt Tolmach Productions,6.5/10,61%,46/100,4
145,Pascal Pictures,7.4/10,87%,54/100,3
146,Ratpac-Dune Entertainment,7.5/10,85%,69/100,1
147,Vertigo Entertainment,6.3/10,47%,52/100,17
148,Lin Pictures,7.2/10,82%,70/100,4
149,KatzSmith Productions,7.5/10,85%,69/100,1
150,Illumination Entertainment,6.6/10,62%,42/100,6
151,Marvel Entertainment,7.0/10,62%,50/100,13
152,Kinberg Genre,7.2/10,61%,33/100,8
153,Hutch Parker Productions,8.0/10,93%,77/100,1
